SYMBOL,NAME,SECTOR,PRICE,PRICE_EARNINGS,DIVIDEND_YIELD,EARNINGS_SHARE,WEEK_LOW,WEEK_HIGH,MARKET_CAP,EBITDA,PRICE_SALES,PRICE_BOOK,SEC_FILINGS
MMM,3M,Industrial Conglomerates,129,13,0,10,76,141,70297116672.00,8117000192,2,15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
AOS,A. O. Smith,Building Products,68,18,0,4,67,92,9890109440.00,809100032,3,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS
ABT,Abbott Laboratories,Health Care Equipment,113,34,0,3,100,122,196184768512.00,10824999936,5,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV,AbbVie,Biotechnology,178,62,0,3,154,207,314020757504.00,25629999104,6,52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN,Accenture,IT Consulting & Other Services,352,30,0,12,279,388,220037611520.00,11065912320,3,8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ADBE,Adobe Inc.,Application Software,445,36,,12,432,638,195748134912.00,8134000128,9,14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AMD,Advanced Micro Devices,Semiconductors,121,107,,1,118,227,196019224576.00,4479000064,8,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD
AES,AES Corporation,Independent Power Producers & Energy Traders,13,9,0,1,12,22,9150917632.00,3334000128,1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AFL,Aflac,Life & Health Insurance,103,15,0,7,75,116,57463816192.00,4779250176,3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A,Agilent Technologies,Life Sciences Tools & Services,134,30,0,4,124,155,38366830592.00,1564000000,6,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
APD,Air Products,Industrial Gases,290,17,0,17,212,337,64498810880.00,4296600064,5,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines",131,46,,3,110,170,82101288960.00,1672999936,8,10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABNB
AKAM,Akamai Technologies,Internet Services & Infrastructure,96,28,,3,85,129,14369213440.00,1118397952,4,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
ALB,Albemarle Corporation,Specialty Chemicals,86,,0,-17,72,150,10117842944.00,-935078016,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB
ARE,Alexandria Real Estate Equities,Office REITs,98,59,0,2,96,131,17048033280.00,1905123968,6,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE
ALGN,Align Technology,Health Care Supplies,209,36,,6,196,335,15565918208.00,820153984,4,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN
ALLE,Allegion,Building Products,131,20,0,7,113,156,11359920128.00,888400000,3,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE
LNT,Alliant Energy,Electric Utilities,59,23,0,3,47,64,15175265280.00,1636999936,4,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT
ALL,Allstate,Property & Casualty Insurance,193,12,0,15,140,210,51051368448.00,6192999936,1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
GOOGL,Alphabet Inc. (Class A),Interactive Media & Services,189,25,0,8,131,201,2325171929088.00,123469996032,7,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
GOOG,Alphabet Inc. (Class C),Interactive Media & Services,190,25,0,8,132,203,2321558798336.00,123469996032,7,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG
MO,Altria,Tobacco,52,9,0,6,39,58,88621613056.00,12216000512,4,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO
AMZN,Amazon,Broadline Retail,219,47,,5,144,233,2306885812224.00,111583002624,4,9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
AMCR,Amcor,Paper & Plastic Packaging Products & Materials,9,18,0,1,9,11,13600649216.00,1904000000,1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMCR
AMTM,Amentum,Diversified Support Services,21,,,-1,18,35,5116641280.00,433000000,1,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMTM
AEE,Ameren,Multi-Utilities,89,21,0,4,67,96,23793960960.00,3264000000,3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE
AEP,American Electric Power,Electric Utilities,92,19,0,5,75,105,49118470144.00,7258299904,3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP
AXP,American Express,Consumer Finance,297,22,0,14,178,308,209072242688.00,,4,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP
AIG,American International Group,Multi-line Insurance,73,14,0,5,66,81,45410385920.00,8501000192,1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
AMT,American Tower,Telecom Tower REITs,183,44,0,4,170,244,85705474048.00,6966099968,8,24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
AWK,American Water Works,Water Utilities,124,25,0,5,113,151,24262352896.00,2408000000,5,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK
AMP,Ameriprise Financial,Asset Management & Custody Banks,532,20,0,26,368,577,51653484544.00,,3,9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP
AME,Ametek,Electrical Components & Equipment,180,31,0,6,149,198,41695580160.00,2138388992,6,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME
AMGN,Amgen,Biotechnology,261,33,0,8,253,347,140102615040.00,12247000064,4,19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN
APH,Amphenol,Electronic Components,69,40,0,2,47,76,83729612800.00,3586299904,6,9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH
ADI,Analog Devices,Semiconductors,212,65,0,3,182,244,105443262464.00,4361349120,11,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI
ANSS,Ansys,Application Software,337,52,,6,290,363,29499506688.00,836108992,12,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANSS
AON,Aon,Insurance Brokers,359,31,0,12,268,395,77674094592.00,4295000064,5,12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON
APA,APA Corporation,Oil & Gas Exploration & Production,23,3,0,7,20,37,8542076416.00,5047000064,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals",250,41,0,6,164,260,3785298542592.00,134660997120,10,66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL
AMAT,Applied Materials,Semiconductor Materials & Equipment,163,19,0,9,148,256,132329594880.00,8204000256,5,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT
APTV,Aptiv,Automotive Parts & Equipment,60,7,,9,51,92,14214977536.00,3032999936,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV
ACGL,Arch Capital Group,Property & Casualty Insurance,92,6,,15,74,116,34745946112.00,5171999744,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACGL
ADM,Archer Daniels Midland,Agricultural Products & Services,51,14,0,4,49,74,24175538176.00,3988000000,0,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM
ANET,Arista Networks,Communications Equipment,111,53,,2,57,117,139241275392.00,2833341952,21,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANET
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,284,54,0,5,223,317,70906585088.00,3382200064,7,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG
AIZ,Assurant,Multi-line Insurance,213,15,0,14,160,231,10935499776.00,1241900032,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ
T,AT&T,Integrated Telecommunication Services,23,19,0,1,16,24,163381346304.00,42773000192,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T
ATO,Atmos Energy,Gas Utilities,139,20,0,7,110,153,21645623296.00,1991972992,5,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATO
